,term,variable,value,p,padj,s1,s2
0,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
1,KEGG_MM_CITRATE_CYCLE,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
2,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
3,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0,0.6955601115895058,0.6955601115895058,0.869033935494787,Th17p_DFMO,Th17n_Vehicle
4,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,0,0.7532452550186388,0.7532452550186388,0.9393072697556843,Th17p_DFMO,Th17n_Vehicle
5,KEGG_MM_GALACTOSE_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
6,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
7,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
8,KEGG_MM_FATTY_ACID_METABOLISM,0,0.8135442679435141,0.8135442679435141,0.9317027377501412,Th17p_DFMO,Th17n_Vehicle
9,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
10,KEGG_MM_STEROID_BIOSYNTHESIS,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
11,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
12,KEGG_MM_STEROID_HORMONE_BIOSYNTHESIS,0,0.8686601784523652,0.8686601784523652,1.0,Th17p_DFMO,Th17n_Vehicle
13,KEGG_MM_OXIDATIVE_PHOSPHORYLATION,0,0.9581689594881504,0.9581689594881504,1.0,Th17p_DFMO,Th17n_Vehicle
14,KEGG_MM_PURINE_METABOLISM,0,0.23075233629023514,0.23075233629023514,1.0,Th17p_DFMO,Th17n_Vehicle
15,KEGG_MM_CAFFEINE_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
16,KEGG_MM_PYRIMIDINE_METABOLISM,0,0.12983892860597496,0.12983892860597496,0.768434475423117,Th17p_DFMO,Th17n_Vehicle
17,KEGG_MM_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0,0.7060337929739788,0.7060337929739788,0.9387408047183315,Th17p_DFMO,Th17n_Vehicle
18,KEGG_MM_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0,0.744451473297975,0.744451473297975,0.9928555673519237,Th17p_DFMO,Th17n_Vehicle
19,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,0,0.04393134553474642,0.04393134553474642,0.21716062849562148,Th17p_DFMO,Th17n_Vehicle
20,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0,0.843506824243099,0.843506824243099,1.0,Th17p_DFMO,Th17n_Vehicle
21,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0,0.06751573787269663,0.06751573787269663,0.10641067382109795,Th17p_DFMO,Th17n_Vehicle
22,KEGG_MM_LYSINE_BIOSYNTHESIS,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
23,KEGG_MM_LYSINE_DEGRADATION,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
24,KEGG_MM_ARGININE_AND_PROLINE_METABOLISM,0,0.31163758700839844,0.31163758700839844,0.3748267751575668,Th17p_DFMO,Th17n_Vehicle
25,KEGG_MM_HISTIDINE_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
26,KEGG_MM_TYROSINE_METABOLISM,0,0.7855003501318557,0.7855003501318557,1.0,Th17p_DFMO,Th17n_Vehicle
27,KEGG_MM_PHENYLALANINE_METABOLISM,0,0.5679817713409692,0.5679817713409692,1.0,Th17p_DFMO,Th17n_Vehicle
28,KEGG_MM_TRYPTOPHAN_METABOLISM,0,0.806896756179845,0.806896756179845,1.0,Th17p_DFMO,Th17n_Vehicle
29,KEGG_MM_PHENYLALANINE_TYROSINE_AND_TRYPTOPHAN_BIOSYNTHESIS,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
30,KEGG_MM_BETA-ALANINE_METABOLISM,0,0.2884393247697022,0.2884393247697022,0.35228200170749774,Th17p_DFMO,Th17n_Vehicle
31,KEGG_MM_TAURINE_AND_HYPOTAURINE_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
32,KEGG_MM_SELENOCOMPOUND_METABOLISM,0,0.44810281811885977,0.44810281811885977,0.9928254289390696,Th17p_DFMO,Th17n_Vehicle
33,KEGG_MM_CYANOAMINO_ACID_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
34,KEGG_MM_D-GLUTAMINE_AND_D-GLUTAMATE_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
35,KEGG_MM_D-ARGININE_AND_D-ORNITHINE_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
36,KEGG_MM_GLUTATHIONE_METABOLISM,0,0.5679082353216681,0.5679082353216681,0.8770653811772507,Th17p_DFMO,Th17n_Vehicle
37,KEGG_MM_STARCH_AND_SUCROSE_METABOLISM,0,0.843506824243099,0.843506824243099,1.0,Th17p_DFMO,Th17n_Vehicle
38,KEGG_MM_N-GLYCAN_BIOSYNTHESIS,0,0.001512834553407153,0.001512834553407153,0.00914004209350155,Th17p_DFMO,Th17n_Vehicle
39,KEGG_MM_OTHER_GLYCAN_DEGRADATION,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
40,KEGG_MM_MUCIN_TYPE_O-GLYCAN_BIOSYNTHESIS,0,0.21144674494800236,0.21144674494800236,0.4066882861564379,Th17p_DFMO,Th17n_Vehicle
41,KEGG_MM_OTHER_TYPES_OF_O-GLYCAN_BIOSYNTHESIS,0,0.6373304323892585,0.6373304323892585,0.8663710565291483,Th17p_DFMO,Th17n_Vehicle
42,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
43,KEGG_MM_BUTIROSIN_AND_NEOMYCIN_BIOSYNTHESIS,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
44,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,0,0.5201696429573677,0.5201696429573677,0.6265079686750021,Th17p_DFMO,Th17n_Vehicle
45,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_DERMATAN_SULFATE,0,0.14926043912238043,0.14926043912238043,0.6482025725614192,Th17p_DFMO,Th17n_Vehicle
46,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0,0.013482932703425184,0.013482932703425184,0.04044879811027555,Th17p_DFMO,Th17n_Vehicle
47,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_HEPARIN,0,1.0,1.0,1.0,Th17p_DFMO,Th17n_Vehicle
48,KEGG_MM_GLYCEROLIPID_METABOLISM,0,0.12576789182824688,0.12576789182824688,0.6768127787045862,Th17p_DFMO,Th17n_Vehicle
49,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,0,0.34951349368209894,0.34951349368209894,0.7188575401972248,Th17p_DFMO,Th17n_Vehicle
50,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,0,0.2031974389567887,0.2031974389567887,0.23291406046430327,Th17p_DFMO,Th17n_Vehicle
51,KEGG_MM_ETHER_LIPID_METABOLISM,0,0.41358189137292817,0.41358189137292817,0.7799485090197562,Th17p_DFMO,Th17n_Vehicle
52,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,0,0.8546557364317455,0.8546557364317455,1.0,Th17p_DFMO,Th17n_Vehicle
53,KEGG_MM_LINOLEIC_ACID_METABOLISM,0,0.8321467420658405,0.8321467420658405,0.927767192136627,Th17p_DFMO,Th17n_Vehicle
